MXU_SOC_TEST_BEGIN
MXU_MODE posit_ff
===MXU_OUT_BEGIN bank_count=8 row_start=0x0 row_count=32===
===MXU_OUT_BANK_BEGIN bank=0 rows=32===
row=29 866e  795f  7819  7908  7817  79f2  79ba  87ee
row=30 7a4b  8783  785e  8511  7945  86fc  85d2  780d
row=31 8948  7a01  7446  7a7b  86d2  87b9  7965  854a
===MXU_OUT_BANK_END bank=2===
===MXU_OUT_BANK_BEGIN bank=3 rows=32===
row=0 79b6  862a  7868  882c  8943  86dd  86dd  8b6a
row=1 870e  7784  8986  788d  85bb  7a70  88af  7a5a
row=2 868f  7986  79d2  7a16  8603  7917  79f0  781a
row=3 8736  8670  8846  8579  791f  8680  71db  86f4
row=4 8607  86bc  879e  8b15  7919  8fcc  76ad  8580
row=5 79f2  8b03  86f0  78af  86ee  86c6  78ac  85d6
row=6 8611  79ea  85db  6f14  7124  8662  7a17  86a7
row=7 86c6  88b1  8673  85ad  8629  7a99  786b  74d8
row=8 7a48  86ad  8764  8760  89b2  6888  8497  8539
row=9 86e9  8755  86a1  87d5  7824  7949  7811  86f7
row=10 8789  87bd  79b8  86fe  875b  7a93  876d  7ade
row=11 795f  7a80  79c0  78ba  7890  7b17  89e8  783c
row=12 87ab  8af3  79f2  78e5  87c3  85f9  7898  9045
row=13 885b  6a02  858a  72b8  86b0  8a70  7a41  8606
row=14 79f4  8633  797f  88be  87ae  797f  7a3f  72b6
row=15 7a74  8607  7ae3  73e1  7927  795c  8669  79c1
row=16 7968  78dc  8779  8653  7930  8ab8  795a  7098
row=17 7917  7964  79c5  858a  79ba  8718  78e6  8673
row=18 8605  7836  94ca  784d  8696  78d9  86a3  785b
row=19 78f5  7a51  85f1  7a6b  86b2  77cc  84f1  8812
row=20 869f  7b23  790a  85a6  8597  8670  8709  796c
row=21 86ec  7a5c  7894  8500  89f8  85c8  7771  7a2e
row=22 792e  79c1  862b  7932  7962  78d3  86d6  86f5
row=23 780a  86a0  8751  89b7  8622  85bb  76a0  7b05
